"","time","t00","t02","t04","t08","t10","t18","t23","t25","t26","t27"
"369",3.69,0,0,0,0,0,0,1,0,0,0
"370",3.7,0,0,0,0,0,0,0,0,0,0
"371",3.71,1,0,1,0,0,0,0,0,0,0
"372",3.72,0,0,1,0,0,0,1,0,0,2
"373",3.73,0,0,0,0,0,0,0,0,0,0
"374",3.74,0,0,0,0,0,0,0,0,0,0
"375",3.75,0,0,0,0,0,0,0,0,0,0
"376",3.76,1,0,0,0,0,0,0,0,0,0
"377",3.77,0,0,0,0,0,0,0,0,0,0
"378",3.78,0,0,0,0,0,0,0,0,0,0
"379",3.79,0,0,0,0,0,0,0,0,0,0
"380",3.8,0,0,1,0,0,0,1,0,0,2
"381",3.81,1,0,2,0,1,0,0,0,0,1
"382",3.82,0,0,0,0,0,0,0,0,0,0
"383",3.83,0,0,0,0,0,0,0,0,0,0
"384",3.84,0,0,0,0,0,0,0,0,0,0
"385",3.85,0,0,0,0,0,0,0,0,0,0
"386",3.86,0,0,0,0,0,0,0,0,0,0
"387",3.87,0,0,0,0,0,0,1,0,0,0
"388",3.88,0,0,0,0,0,0,0,0,0,0
"389",3.89,0,0,0,0,0,0,0,0,0,0
"390",3.9,0,0,0,0,0,0,0,0,0,0
"391",3.91,0,0,1,0,0,0,0,0,0,0
"392",3.92,0,0,0,0,1,0,0,0,0,1
"393",3.93,0,0,0,0,0,0,0,0,0,0
"394",3.94,0,0,0,0,0,0,0,0,0,0
"395",3.95,0,0,0,0,0,0,1,0,0,0
"396",3.96,1,0,0,0,0,0,0,0,0,0
"397",3.97,0,0,0,0,0,0,1,0,0,0
"398",3.98,0,0,0,0,0,0,0,0,0,0
"399",3.99,1,0,0,0,0,0,0,0,0,0
"400",4,0,0,0,0,0,0,0,0,0,1
"401",4.01,0,0,0,0,0,0,0,0,0,0
"402",4.02,0,0,0,0,1,0,0,0,0,0
"403",4.03,0,0,0,0,0,0,0,0,0,0
"404",4.04,0,0,0,0,0,0,0,0,0,0
"405",4.05,0,0,0,0,0,0,0,0,0,1
"406",4.06,0,0,0,0,0,0,0,0,0,0
"407",4.07,0,0,0,0,0,0,0,0,0,0
"408",4.08,0,0,0,0,0,0,0,0,0,0
"409",4.09,0,0,0,0,0,0,0,0,0,0
"410",4.1,0,0,0,0,0,0,1,0,0,1
"411",4.11,0,0,0,0,0,0,0,0,0,0
"412",4.12,0,0,0,0,0,0,0,0,0,0
"413",4.13,0,0,0,0,0,0,0,0,0,0
"414",4.14,0,0,0,0,0,0,1,0,0,0
"415",4.15,0,0,0,0,0,0,0,0,2,0
"416",4.16,0,0,0,0,0,0,0,0,0,0
"417",4.17,1,0,0,0,0,0,0,0,0,0
"418",4.18,1,0,0,0,0,0,1,0,0,0
"419",4.19,0,0,0,0,0,0,1,0,0,0
"420",4.2,0,0,0,0,0,0,0,0,0,0
"421",4.21,2,0,0,0,0,0,1,0,2,1
"422",4.22,0,0,0,0,0,0,0,0,0,0
"423",4.23,0,0,0,0,1,0,0,0,0,1
"424",4.24,0,0,0,0,0,0,0,0,0,0
"425",4.25,0,0,0,0,0,0,0,0,2,0
"426",4.26,0,0,0,0,0,0,0,0,0,0
"427",4.27,0,0,0,0,0,0,0,0,0,0
"428",4.28,0,0,0,0,0,0,1,0,0,0
"429",4.29,0,0,0,0,0,0,0,0,1,0
"430",4.3,0,0,0,0,0,0,1,0,0,0
"431",4.31,0,0,0,0,0,0,1,0,3,0
"432",4.32,0,0,0,0,0,0,0,0,0,0
"433",4.33,0,0,0,0,0,0,0,0,0,0
"434",4.34,0,0,0,0,0,0,0,0,0,0
"435",4.35,0,0,0,0,0,1,0,0,2,0
"436",4.36,0,0,0,0,0,0,0,0,0,0
"437",4.37,0,0,0,0,0,0,0,0,0,0
"438",4.38,0,0,0,0,0,0,0,0,1,0
"439",4.39,0,0,0,0,0,0,0,1,1,0
"440",4.4,0,0,0,0,0,2,0,0,2,0
"441",4.41,0,0,0,0,0,0,0,0,0,0
"442",4.42,0,0,0,0,0,0,0,0,0,0
"443",4.43,1,0,0,0,0,0,0,0,1,0
"444",4.44,1,0,0,0,0,4,0,0,2,0
"445",4.45,0,0,0,0,0,0,0,0,0,0
"446",4.46,0,0,0,0,0,0,0,0,0,0
"447",4.47,0,0,0,0,0,3,0,0,1,0
"448",4.48,0,0,0,0,0,1,0,0,2,0
"449",4.49,0,0,0,0,0,0,0,0,0,0
"450",4.5,0,0,0,0,0,2,0,0,0,0
"451",4.51,1,0,0,0,0,0,0,0,1,0
"452",4.52,0,0,0,0,0,0,0,0,0,0
"453",4.53,0,0,0,0,0,1,1,0,0,0
"454",4.54,0,0,0,0,0,4,0,0,0,0
"455",4.55,0,0,0,0,0,0,0,0,2,0
"456",4.56,0,0,0,0,0,0,0,0,0,0
"457",4.57,0,0,0,0,0,2,0,0,0,0
"458",4.58,0,0,0,0,0,1,0,0,0,0
"459",4.59,0,0,0,0,0,1,0,0,2,0
"460",4.6,0,0,0,0,0,0,0,0,0,0
"461",4.61,0,0,0,0,0,3,0,0,0,0
"462",4.62,0,1,0,0,0,3,0,0,1,0
"463",4.63,0,0,0,0,0,0,0,0,0,0
"464",4.64,0,0,0,0,0,0,0,0,0,0
"465",4.65,0,0,0,0,0,2,0,0,0,0
"466",4.66,0,0,0,0,0,1,1,0,2,0
"467",4.67,0,0,0,0,0,0,0,0,0,0
"468",4.68,0,0,0,0,0,2,1,0,0,0
"469",4.69,0,0,0,0,0,2,0,0,0,0
"470",4.7,0,0,0,0,0,0,0,0,1,0
"471",4.71,0,0,0,0,0,0,0,0,0,0
"472",4.72,0,0,0,0,0,2,0,0,0,0
"473",4.73,0,0,0,0,0,1,0,0,1,0
"474",4.74,0,0,0,0,0,0,0,0,0,0
"475",4.75,0,0,0,0,0,0,0,0,0,0
"476",4.76,0,0,0,0,0,0,0,0,0,0
"477",4.77,0,0,0,0,1,1,0,0,0,0
"478",4.78,0,0,0,0,0,0,0,0,2,0
"479",4.79,0,0,0,0,0,0,0,0,0,0
"480",4.8,0,0,0,0,0,1,0,0,0,0
"481",4.81,0,0,0,0,0,1,0,0,0,0
"482",4.82,0,0,0,0,0,1,0,0,0,0
"483",4.83,0,0,0,0,0,0,0,0,0,0
"484",4.84,0,0,0,0,0,0,0,0,0,0
"485",4.85,0,0,0,0,0,0,0,0,0,0
"486",4.86,0,0,0,0,0,0,0,0,0,0
"487",4.87,0,0,0,0,0,0,0,0,0,0
"488",4.88,0,0,0,0,0,0,0,0,0,0
"489",4.89,0,0,0,0,0,0,0,0,0,0
"490",4.9,0,0,0,0,0,0,0,0,0,0
"491",4.91,0,0,0,0,0,0,0,0,0,0
"492",4.92,0,0,0,0,0,0,0,0,0,0
"493",4.93,0,0,0,0,0,0,1,0,0,0
"494",4.94,0,0,0,0,0,1,0,0,0,0
"495",4.95,0,0,0,0,0,0,0,0,0,0
"496",4.96,0,0,0,0,0,1,0,0,0,0
"497",4.97,0,0,0,0,0,1,0,0,0,0
"498",4.98,0,0,0,0,0,0,0,0,0,0
"499",4.99,0,0,0,0,0,0,0,0,0,0
"500",5,0,0,0,0,0,0,0,0,0,0
"501",5.01,0,0,0,0,0,0,1,0,0,0
"502",5.02,0,0,0,0,0,0,0,0,0,0
"503",5.03,0,0,0,0,0,0,0,0,0,0
"504",5.04,0,0,0,0,0,0,0,0,0,0
"505",5.05,0,0,0,0,0,0,0,0,0,0
"506",5.06,0,0,0,0,0,0,1,0,0,0
"507",5.07,0,0,0,0,0,0,0,0,0,0
"508",5.08,0,0,0,0,0,0,0,0,0,0
"509",5.09,0,0,0,0,0,0,0,0,0,0
"510",5.1,0,0,0,0,0,0,0,0,0,0
"511",5.11,0,0,0,0,0,0,0,0,0,0
"512",5.12,0,0,0,0,0,0,0,0,0,0
"513",5.13,0,0,0,0,0,0,0,0,0,0
